bin_edges bin_midpoints muons muons__err nue nue__err numu numu__err nutau nutau__err noise noise__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err nue_cc nue_cc__err numu_cc numu_cc__err nutau_cc nutau_cc__err nu_nc nu_nc__err
0.0 0.014705882352941200 0.21540227434388600 0.0015626768255512000 5.35026657330906E-07 8.12243212389278E-08 1.82489235903611E-05 9.86773017299049E-07 4.60803652327788E-08 1.49200825962574E-08 0.0 0.0 0.21542110437449900 0.001562677139288780 0.23805381338471200 0.0008435156762429740 1.1050626356963900 0.008921415929575050 4.56871103736521E-07 7.47277183791209E-08 1.78914582566897E-05 9.72259069622274E-07 3.12908826658985E-08 1.22697267741371E-08 4.5041036983262E-07 1.71809517614254E-07
0.029411764705882400 0.044117647058823500 0.0741893593089983 0.0008669642915077870 1.29031699446034E-06 1.27415890296971E-07 2.49081505062563E-05 1.21130965875137E-06 7.9741264764473E-08 1.61098081644171E-08 0.0 0.0 0.07421563751776380 0.0008669651472320120 0.07679078137608950 0.0004790823046186560 1.034698130265460 0.01370281177594770 1.12920935253981E-06 1.20158739835068E-07 2.40191942801777E-05 1.19041461722199E-06 6.89437479577287E-08 1.55667189951353E-08 1.06086138480589E-06 2.28030739175283E-07
0.058823529411764700 0.07352941176470590 0.037299162541445000 0.0005994560692447640 1.64482285755088E-06 1.48991783823844E-07 2.58580280328592E-05 1.27810806398264E-06 1.00818976347976E-07 1.80263772033193E-08 0.0 0.0 0.03732982015543390 0.0005994652296946080 0.03837745729678460 0.0003386832239901260 1.0280643500822800 0.018838020465928600 1.50616679799852E-06 1.4317851265225E-07 2.42069548171085E-05 1.23724015696174E-06 7.9877549800575E-08 1.57737562335855E-08 1.81067070185053E-06 3.23375356621073E-07
0.08823529411764710 0.10294117647058800 0.024137571390359500 0.0004793965411329040 1.96285881437865E-06 1.75361447787401E-07 2.34020321364713E-05 1.22387893244726E-06 1.20958207577569E-07 2.10980346333156E-08 0.0 0.0 0.024166111183640100 0.0004794078632034510 0.02427882286774000 0.0002693825129884330 1.0046640389611500 0.022836046150738200 1.8760953560128E-06 1.7421187306028E-07 2.18962567051548E-05 1.18727228584489E-06 9.81819807279037E-08 2.00259334865946E-08 1.61531511653197E-06 2.97842425220436E-07
0.11764705882352900 0.1323529411764710 0.01615564783173190 0.000385918487877354 2.00779538703056E-06 1.63388731515268E-07 2.38377960192488E-05 1.2569207747444E-06 1.01883094832764E-07 1.83827428067899E-08 0.0 0.0 0.01618159530623300 0.000385920569766863 0.017362511638397300 0.00022780427069116600 1.07297898073804 0.029206682614453000 1.9040859036257E-06 1.60762722681534E-07 2.22937330666204E-05 1.21248068508723E-06 7.32815779926831E-08 1.53223055598399E-08 1.6763739528733E-06 3.32708279190762E-07
0.14705882352941200 0.16176470588235300 0.012755227249081400 0.0003417756158346140 2.00233125217705E-06 1.71662011399149E-07 2.52395024817665E-05 1.28598346219403E-06 1.15822901556E-07 2.10812726123439E-08 0 0 0.012788692793961200 0.00034180536624556300 0.013219898257295800 0.00019877860711012700 1.033717712222960 0.03170046117565500 1.81173777777235E-06 1.66366748775672E-07 2.30156677643093E-05 1.2228513222488E-06 9.63388807604098E-08 1.93518387462016E-08 2.4339122126572E-06 4.00309862684413E-07
0.1764705882352940 0.19117647058823500 0.01092528702246480 0.00031828610254414100 2.60691459409403E-06 2.04012364590054E-07 2.25120815841562E-05 1.23671018442621E-06 1.51652976027316E-07 2.10875934656169E-08 0.0 0.0 0.010950557671619100 0.000318288571253432 0.010822801625518500 0.00017985620927180100 0.9883333753465580 0.03309068500904670 2.47460278866144E-06 2.00957897177228E-07 2.03983356502013E-05 1.17238664391385E-06 1.1568369472231E-07 1.73554286478029E-08 2.2800757716152E-06 3.95396350799197E-07
0.20588235294117600 0.22058823529411800 0.008798087753743180 0.0002822711242469740 2.63150662553033E-06 2.04906549644229E-07 2.323441480919E-05 1.22590839047695E-06 1.70316359639084E-07 2.29939953586077E-08 0.0 0.0 0.008824123991537530 0.000282273861613948 0.009065329282020840 0.00016460665079558800 1.0273347576161200 0.03778853883951600 2.39340382181557E-06 1.98001893897564E-07 2.11839575625004E-05 1.17299373110149E-06 1.46550998487894E-07 2.10246653099146E-08 2.31232541155557E-06 3.60285608940499E-07
0.23529411764705900 0.25 0.007717667454638330 0.00026785892087537200 2.7620354961232E-06 2.15646828586357E-07 2.01567420342264E-05 1.16314974578327E-06 1.47518807964747E-07 2.02410255743971E-08 0.0 0.0 0.007743787695098800 0.0002678789426173790 0.007720324937507360 0.00015190545730817900 0.9969701186918790 0.03967647176508830 2.59450008681897E-06 2.11653963950113E-07 1.79707035145336E-05 1.10153175918475E-06 1.28888920915672E-07 1.84063395272616E-08 2.37220381604611E-06 3.75928416893586E-07
0.2647058823529410 0.27941176470588200 0.006470304864554070 0.00023876354273373700 2.63241917409196E-06 2.03878463034044E-07 2.23494124519878E-05 1.22385346031449E-06 1.99361331020739E-07 2.70867041778967E-08 0.0 0.0 0.006495486057511170 0.00023876676790578400 0.00676088850508775 0.00014215347271417000 1.0408595207851600 0.04407768638861520 2.38337894033898E-06 1.9160854860021E-07 1.98179645638335E-05 1.1542573745434E-06 1.59942273404555E-07 2.36974207054774E-08 2.81990717952356E-06 4.12955105578666E-07
