Umu4_sq,Utau4_sq,metric_diff
0.0009999999999999998,0.0009989999999999999,0.05489150382013008
0.0009999999999999998,0.0013693548807703418,0.04947641963599381
0.0009999999999999998,0.0018770097992888458,0.043715135338288746
0.0009999999999999998,0.0025728653953052457,0.03835536472485046
0.0009999999999999998,0.0035266924791054585,0.03418673059306343
0.0009999999999999998,0.004834127686926042,0.032948555514735745
0.0009999999999999998,0.00662626260496419,0.037786023784008194
0.0009999999999999998,0.009082787827200916,0.05517812397417288
0.0009999999999999998,0.012450009852031048,0.0977293415379279
0.0009999999999999998,0.017065547303821378,0.19209190141526733
0.0009999999999999998,0.02339218267618113,0.37513154328735254
0.0009999999999999998,0.03206426378328337,0.7495239389111248
0.0009999999999999998,0.04395130741736415,1.4962430134848432
0.0009999999999999998,0.06024518251071604,3.323262585526635
0.0009999999999999998,0.08257961432827736,8.144710406404073
0.0009999999999999998,0.11319399192448355,21.057529521651873
0.0009999999999999998,0.1551579032188891,52.08491392246947
0.0009999999999999998,0.21267891097385197,91.13212310518446
0.0009999999999999998,0.29152442920817345,133.4529755620449
0.0009999999999999998,0.3996000000000001,211.3027204895801
0.0013300135414628029,0.000998669986458537,0.0487034323390958
0.0013300135414628029,0.0013689025227586076,0.042426828559484875
0.0013300135414628029,0.0018763897405789122,0.03619424431323637
0.0013300135414628029,0.0025720154649540826,0.030369797559274048
0.0013300135414628029,0.003525527457809483,0.025975519967886385
0.0013300135414628029,0.004832530762403673,0.02480357871482397
0.0013300135414628029,0.006624073659629929,0.030414256546038132
0.0013300135414628029,0.009079787383780284,0.0496625544345477
0.0013300135414628029,0.012445897067403906,0.0961148277089876
0.0013300135414628029,0.017059909804619442,0.1977766862789565
0.0013300135414628029,0.023384455211669108,0.37362953896442264
0.0013300135414628029,0.032053671549804374,0.7487048453625107
0.0013300135414628029,0.04393678837170577,1.4826804528098307
0.0013300135414628029,0.06022528088305194,3.3346547567221023
0.0013300135414628029,0.08255233465762961,8.035660467811965
0.0013300135414628029,0.11315659898139316,20.79955204804793
0.0013300135414628029,0.1551066477542973,51.607780024435044
0.0013300135414628029,0.21260865379606925,90.6619888239644
0.0013300135414628029,0.2914281258955549,131.7276278721905
0.0013300135414628029,0.39946799458341503,208.12808676617453
0.001768936020474425,0.0009982310639795253,0.04163862804443852
0.001768936020474425,0.0013683008804774121,0.034975352891478906
0.001768936020474425,0.0018755650540981984,0.0283207832664516
0.001768936020474425,0.0025708850460777356,0.022068270450603222
0.001768936020474425,0.0035239779637097424,0.017633286495424727
0.001768936020474425,0.004830406831164229,0.016999353238816184
0.001768936020474425,0.00662116233269384,0.024084486509053704
0.001768936020474425,0.009075796753400454,0.046333952285721125
0.001768936020474425,0.012440427008156686,0.09838735855981895
0.001768936020474425,0.01705241185434088,0.195358238845472
0.001768936020474425,0.023374177579226944,0.3716530053658573
0.001768936020474425,0.032039583735842966,0.8102533508775309
0.001768936020474425,0.043917477844371,1.4665193458786803
0.001768936020474425,0.06019881144876154,3.235097332653453
0.001768936020474425,0.08251605232626145,7.896056684155582
