# sin2_theta24, sin2_theta34_cos2_theta24
0.001, 0.17441860465116282
0.0013164458054677568, 0.1782945736434109
0.001595824302693567, 0.1798449612403101
0.002129895073206438, 0.18372093023255814
0.002546655205067407, 0.186046511627907
0.003953802078431884, 0.1937984496124031
0.005133904209835602, 0.1984496124031008
0.006575222412046993, 0.20310077519379846
0.009530254044280245, 0.20930232558139536
0.011395054795325401, 0.2108527131782946
0.013813333824588294, 0.21007751937984498
0.016068308054959925, 0.20542635658914732
0.017936237390528267, 0.1968992248062016
0.01921242077112597, 0.18759689922480624
0.020021312177300476, 0.17674418604651165
0.020579406028697782, 0.16666666666666669
0.021445850964455573, 0.15116279069767447
0.021742697958246585, 0.13023255813953494
0.022348775418895933, 0.110077519379845
0.02427027106748095, 0.08914728682170547
0.027091672745497064, 0.06434108527131782
0.030241060353566378, 0.04961240310077525
0.03469752580789566, 0.035658914728682156
0.03873108840244663, 0.021705426356589175
0.041486848724718244, 0.017054263565891514
0.041486848724718244, 0.006976744186046546
0.04092044034479019, 0
