Umu4_sq,Utau4_sq
0.0009999999999999998,0.08510606481540095
0.0010277895471777435,0.08515441945234734
0.0013300135414628027,0.0853688905690353
0.0017242296337075496,0.08563694085445309
0.001768936020474425,0.08571492156364909
0.0018321428578141534,0.08582104971310497
0.0023527088612123087,0.08616622825421122
0.003023536450765787,0.08657043065187364
0.003129134644531899,0.0867466855610251
0.003284635174354688,0.086986174655487
0.004161791450287818,0.08747628303246927
0.00527668645566656,0.08797103305070972
0.005535238985626911,0.08835585414746808
0.006959644491137997,0.08879862840717494
0.007361942806116619,0.08932759820896823
0.007997260508632862,0.08993632231394495
0.009791483623609777,0.09017959461603495
0.012169047523867433,0.0896738979709421
0.013022805810412262,0.09017545041480102
0.016270075754339006,0.08870998245684725
0.017320508075688777,0.08859078608844939
0.018516365235675784,0.087395288788169
0.02303651028568189,0.0831887089496856
0.02491713030065052,0.08060256988776998
0.03063887062800405,0.07108095541562565
0.03353975188887062,0.06443556931038057
0.03983572987279301,0.057903174868950996
0.040750112830372304,0.05665720995674645
0.04569319394674072,0.0476551882703766
0.05353105556716128,0.04164018772548132
0.054198201880532246,0.04097090928952527
0.06581413399685862,0.029983965996135876
0.06751478335541697,0.02783181534191547
0.07208434242404264,0.025105759788298997
0.07611845760677517,0.02163323904986416
0.07784488825945085,0.020206288920433524
0.08195044666316392,0.015682700780502365
0.08323812012875262,0.013383673059697346
0.08438664400362876,0.011410806108914949
0.08418027846743928,0.009863839290513382
0.08453003359788579,0.00832334280981497
0.0837770700965243,0.007237419984775723
0.08372647184788445,0.006077546562075042
0.08350568316755591,0.005213601200936471
0.08272515298750137,0.00443866239686083
0.08208434054446331,0.003944356979854693
0.08181617842173955,0.0032413933713677273
0.08133522341397231,0.0029073969860758174
0.0810774741741603,0.002366630598262056
0.08072924889799746,0.002138667059935486
0.08050720351824853,0.0017276246139857376
0.08025867063568613,0.0015702171313945836
0.08007904085875212,0.0012609592145375395
0.07993801394526989,0.0010307197732625775
0.0797633485694847,0.0009202366514305152
