bin_edges bin_midpoints muons muons__err nue nue__err numu numu__err nutau nutau__err noise noise__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err nue_cc nue_cc__err numu_cc numu_cc__err nutau_cc nutau_cc__err nu_nc nu_nc__err nu nu__err
10 10.5 0.2514908627668592 0.005847533274094061 9.865167214219272e-05 1.504027437701611e-06 0.0003269857581152693 4.624697261088248e-06 1.7768061464203295e-05 3.0777508456891844e-07 0.003786890711492106 0.0003400728249876172 0.255721158970073 0.005857415698290592 0.33583861812938537 0.0010018919884558705 1.3133000784213107 0.030335832780599436 9.176207477204352e-05 1.4596389689961686e-06 0.0002970584386165504 4.398797897953613e-06 1.2883101631537748e-05 2.616515798330971e-07 4.164233362187091e-05 1.4813458439207029e-06 0.0004434054917216761 4.872848119196583e-06
11 11.5 0.220632704737248 0.005406936909121853 8.055481787501533e-05 1.348212616601754e-06 0.0003023294908945075 4.480104554503524e-06 1.563632879703139e-05 2.9038287625075165e-07 0.0007940254717652806 0.00015572120672258745 0.22182525084657984 0.005409180881314989 0.3095811444259389 0.0009619286000672958 1.3956082242415828 0.03430689895687467 7.503737413801695e-05 1.3082866117984552e-06 0.00027034870454130665 4.221959855114544e-06 1.1498529533463843e-05 2.491760132107256e-07 4.160324633977761e-05 1.5408391927370586e-06 0.00039852063756655107 4.6875725374299036e-06
12 12.5 0.22786619049408047 0.00551878215401 6.883666301557325e-05 1.2313171269381746e-06 0.00027403831877072726 4.285555456985892e-06 1.3112561460984431e-05 2.6284682705680333e-07 6.107888244287096e-05 4.318929196272436e-05 0.2282832569197706 0.005518952955912507 0.2853949774130432 0.0009235889953182868 1.250179190817066 0.03049378847697271 6.391636110244671e-05 1.194172875855717e-06 0.00024725568258699706 4.069631749641703e-06 9.863917632690769e-06 2.282959015065276e-07 3.494153612348203e-05 1.3824053401912975e-06 0.0003559875432472874 4.466678396357469e-06
13 13.5 0.1963322973153521 0.005127655080525127 5.76809348494434e-05 1.113773808717836e-06 0.00023371700774235394 3.943900766573834e-06 1.1207786781528918e-05 2.4302958287801296e-07 0.0 0.0 0.19663490304472545 0.005127656723957238 0.26098763190793867 0.0008832131978437998 1.3272701227847425 0.03490151131211872 5.3462471098236936e-05 1.0777881030326635e-06 0.0002107368631191764 3.7453522692765763e-06 8.653915759991299e-06 2.1366165662565882e-07 2.9747207285123373e-05 1.2723752658091575e-06 0.0003026057293733245 4.10535123122509e-06
14 14.5 0.18181893637507926 0.004919781810525399 4.7813994086113446e-05 9.971736643472686e-07 0.00022019821088268692 3.869869159229112e-06 9.536534787645164e-06 2.2348138924181475e-07 0.0 0.0 0.1820964851148357 0.0049197834386650735 0.24008925329274255 0.0008471141714337313 1.3184727488909784 0.03592425603643277 4.405154732181581e-05 9.606095256769814e-07 0.0002008881748938554 3.7013055518867134e-06 7.201052237784579e-06 1.943929463619441e-07 2.539948611429022e-05 1.1661443282341517e-06 0.00027754873975644677 4.002522524328634e-06
15 15.5 0.160342185656923 0.004616736419952249 4.242754083343004e-05 9.466763691201799e-07 0.00019775872272573755 3.6616172987532716e-06 8.146975111478433e-06 2.0415506864775463e-07 0.0 0.0 0.16059051889559361 0.00461673797357292 0.21873656209895526 0.0008085674936811769 1.3620764389033746 0.03948004213191922 3.891117608774627e-05 9.14249842010672e-07 0.0001789919335011214 3.4893456282246417e-06 6.351414903110081e-06 1.7950268515007236e-07 2.4058897912256852e-05 1.1408315793048612e-06 0.0002483332386706477 3.787521179140039e-06
16 16.5 0.15069592408155358 0.004493911152932739 3.604073871631471e-05 8.593111370337903e-07 0.00017806388280012866 3.4870352712013295e-06 6.819561040745511e-06 1.8582625269041386e-07 0.0 0.0 0.15091684826411075 0.004493912591808531 0.2002113689271896 0.0007735705972639124 1.326633647800618 0.039834873259033135 3.343069967297434e-05 8.34188494220016e-07 0.00016036093135714317 3.308375068912392e-06 5.575051877845078e-06 1.6887211679276826e-07 2.1551572337817626e-05 1.1236516558438907e-06 0.00022092418255719102 3.5961593414393075e-06
17 17.5 0.12998637881457684 0.0041098415883561 3.060794441670338e-05 7.893186832254797e-07 0.00015974789402402252 3.3004755460088367e-06 5.806573733819218e-06 1.689658402836016e-07 0.0 0.0 0.13018254122675135 0.004109842992876207 0.18382323821392874 0.00074123478664586 1.4120421715669713 0.044940111985782794 2.8269211582309175e-05 7.635653422216872e-07 0.00014417687395824677 3.1344938951265363e-06 4.73442627844517e-06 1.532478381146647e-07 1.8979904192627847e-05 1.055054204149276e-06 0.00019616241217454146 3.3977510604330014e-06
18 18.5 0.13004144383663174 0.004156962834830116 2.696105031434852e-05 7.415140216864583e-07 0.00013764060778220024 3.074812661403259e-06 4.84586068262233e-06 1.5319024800495147e-07 0.0 0.0 0.13021089135541092 0.004156964040972935 0.16935696926405042 0.0007114708699179053 1.3006359721614238 0.04188057897033946 2.490396760997868e-05 7.19004462396306e-07 0.00012475956968435107 2.9303300595230246e-06 3.820016170354829e-06 1.3624003781890138e-07 1.5963965314486592e-05 9.515356937986548e-07 0.00016944751877917414 3.166667522675421e-06
19 19.5 0.11389634946272963 0.0038907664330466874 2.3119181972460975e-05 6.710791829771031e-07 0.00012751893575942418 2.9605978434110337e-06 4.024776755564555e-06 1.365678613785034e-07 0.0 0.0 0.11405101235721708 0.003890767619719852 0.15350385139005157 0.0006773532592527914 1.3459227429675502 0.046297686924682946 2.1358828479961163e-05 6.490852960645926e-07 0.00011420252093458719 2.8040220104135712e-06 3.3178976144614602e-06 1.2490981967354544e-07 1.5783647458436113e-05 9.66790577889177e-07 0.00015466289448744648 3.0387723904558736e-06
20 20.5 0.11000246200481342 0.0038446866768349045 1.988193912622477e-05 6.232570910061942e-07 0.0001137175348354183 2.798492535683802e-06 3.390922167244249e-06 1.243947639784381e-07 0.0 0.0 0.11013945240094229 0.0038446877478562225 0.1418112802884144 0.0006510449516634963 1.2875611526755795 0.045332518830535656 1.8589868021319164e-05 6.069244673569444e-07 0.00010195364181807554 2.645828297851232e-06 2.752244146182249e-06 1.1225436021938201e-07 1.3694642143312688e-05 9.241851540126644e-07 0.00013699039612888737 2.869753287492218e-06
21 21.5 0.09761512009078104 0.003633118260227385 1.764025502249342e-05 5.776257743003763e-07 0.00010632251463051148 2.69237301290406e-06 3.05297452253819e-06 1.1762701265098938e-07 0.0 0.0 0.09774213583495657 0.003633119305659773 0.13039368785276664 0.0006242863955644885 1.33405809826935 0.049997190117316424 1.642515707807532e-05 5.624000879221531e-07 9.626534051487278e-05 2.564728463532675e-06 2.4668832570759558e-06 1.0601107547328054e-07 1.1858363325517596e-05 8.312615660448977e-07 0.00012701574417554596 2.7561495042641317e-06
22 22.5 0.08940861007188687 0.0034415956529893314 1.6228180785693088e-05 5.607134710794073e-07 0.00010014109577887939 2.6314711931353628e-06 2.414074700166991e-06 1.0209440282158275e-07 0.0 0.0 0.08952739342315162 0.0034415967062017255 0.11946627477823048 0.0005975554992347497 1.3344102872913166 0.05172958032793528 1.5089689379829684e-05 5.443874396980062e-07 9.120509792574366e-05 2.516626020053619e-06 1.928136744957349e-06 9.096571341815622e-08 1.0560427214211573e-05 7.81936400040857e-07 0.00011878335126473821 2.6924827769251614e-06
23 23.5 0.08462681120518824 0.0033654684292212483 1.4502759870898413e-05 5.130349228954145e-07 8.635784222817965e-05 2.4519084035500296e-06 2.0908054014006847e-06 9.275366803732289e-08 0.0 0.0 0.08472976261268872 0.003365469362770642 0.11296243154787197 0.0005810621714655062 1.3332084035717016 0.05339729540527927 1.3319642563790202e-05 4.954252476746822e-07 7.71729065048965e-05 2.318817546526773e-06 1.6647765959822322e-06 8.365587005122138e-08 1.0794081835810171e-05 8.088903508731764e-07 0.00010295140750047893 2.5067235376969305e-06
24 24.5 0.07911687410715501 0.003212468948184364 1.2308046731064615e-05 4.6850328441378353e-07 8.022428143381402e-05 2.3453827119821026e-06 1.7582361709417987e-06 8.410514338453824e-08 0.0 0.0 0.07921116467149084 0.00321246983961528 0.10553800756615758 0.0005616425883815718 1.3323627799673312 0.054498216644635146 1.1296251627850722e-05 4.527444142516574e-07 7.294057443837931e-05 2.2415503585587842e-06 1.4112078537178216e-06 7.518543699669435e-08 8.64253041587531e-06 7.015772970862034e-07 9.429056433581939e-05 2.3931964123979855e-06
25 25.5 0.07634129984467279 0.0031882762433954903 1.1942703131535143e-05 4.60133270203644e-07 7.836830245549556e-05 2.3530281679710754e-06 1.6250273576039198e-06 8.065839212730233e-08 0.0 0.0 0.07643323587761744 0.00318827714591596 0.09941674334934957 0.0005451115109615577 1.30070043754961 0.054723141595007276 1.0973997385288481e-05 4.4695494030946273e-07 7.058363627672481e-05 2.231687160998432e-06 1.3278461255973985e-06 7.342248611631823e-08 9.032036543392408e-06 7.543473551052426e-07 9.19360329446367e-05 2.398951846501804e-06
26 26.5 0.0656430864360334 0.002920552138301095 9.335369394325096e-06 4.0144349582572213e-07 6.873039507207662e-05 2.187681932100083e-06 1.4385393108592992e-06 7.524015088760821e-08 0.0 0.0 0.06572259073981065 0.002920552986217729 0.09273954400347599 0.0005264875003114174 1.411075597592049 0.06321441674885654 8.596597982694215e-06 3.8904118924907604e-07 6.217914189423496e-05 2.087251293316878e-06 1.1871369759262375e-06 6.835091110267683e-08 7.541426924407256e-06 6.634209382056197e-07 7.950430377725998e-05 2.2254820144596567e-06
