bin_edges bin_midpoints muons muons__err nue nue__err numu numu__err nutau nutau__err noise noise__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err nue_cc nue_cc__err numu_cc numu_cc__err nutau_cc nutau_cc__err nu_nc nu_nc__err nu nu__err
-600.0 -582.3529411764706 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nan 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-564.7058823529412 -547.0588235294117 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nan 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-529.4117647058823 -511.7647058823529 0.032384255889382756 0.002037983448858552 0.00010814686660474066 1.4776531674574043e-06 0.0005397592957035344 5.849565694267966e-06 1.9715483939802704e-05 3.086099583208976e-07 0.12692191771687647 0.001968787557316571 0.1599737952525073 0.0028336438519658306 0.16145731041394126 0.000694679436799149 1.0092734885678767 0.01839727507927391 0.00010022069492836123 1.4300801843475965e-06 0.0004854626297217921 5.540199434717321e-06 1.4852940912252276e-05 2.6844210073901055e-07 6.704437078839753e-05 1.919337829258843e-06 0.0006676216462480779 6.041201685197109e-06
-494.11764705882354 -476.47058823529414 0.11056200161484643 0.00383264857515767 0.00018963945466157832 2.0602852346395374e-06 0.0007623085423732621 7.063760426678702e-06 3.105345165219638e-05 3.927982237634867e-07 0.5737444822297784 0.0041859092072406776 0.6852894852933118 0.005675481062227012 0.718238297767284 0.0014651762358106823 1.048080137199055 0.008939507020501723 0.00017592816616182058 1.992905356662449e-06 0.0006933404383435065 6.736727723463062e-06 2.1963545988075687e-05 3.310027135234366e-07 9.166361417374423e-05 2.197509282131435e-06 0.000983001448687034 7.3685668252501715e-06
-458.8235294117647 -441.17647058823525 0.12857348520137443 0.004205651993798843 0.00016761260826763101 1.9426047890053564e-06 0.0006255663160001044 6.4385784200230365e-06 2.576848510792536e-05 3.592477460276913e-07 0.6667065413082605 0.004512299328538246 0.7960989739190105 0.006168338453857349 0.8165909932351962 0.0015622764256700077 1.0257405423038146 0.008186341607039207 0.00015491587619641533 1.874602787013909e-06 0.0005655812372234777 6.120433681809899e-06 1.806966533777882e-05 3.030114390525771e-07 8.033597787501844e-05 2.071410941537938e-06 0.0008189474093756619 6.734839595720076e-06
-423.52941176470586 -405.88235294117646 0.16207008505048254 0.00464400711559909 0.00016770286258113937 1.9448389404089113e-06 0.0006041002959638418 6.337490816031122e-06 2.6060460383714002e-05 3.638699146072759e-07 0.6656987397479484 0.004508887616010466 0.8285666884173596 0.006472782531658019 0.8987468474966228 0.001638982349915642 1.0847006765542482 0.008701526823132993 0.00015520472540507811 1.878684661521935e-06 0.0005429524414166983 6.004382523127093e-06 1.8262317255759822e-05 3.0677916874681524e-07 8.137641918918559e-05 2.0976462759333374e-06 0.0007978636189286944 6.639170856527622e-06
-388.2352941176471 -370.5882352941177 0.26737344464587687 0.00579617888636216 0.00020381273804725682 2.1541885452686207e-06 0.0007071649954769093 6.8205679638807765e-06 3.146540534217116e-05 3.985163381841024e-07 0.7032317130092676 0.004634253290941025 0.9715476007940107 0.007421054141211956 1.0130512944904648 0.0017400883708751232 1.042719156181884 0.008163586052687319 0.0001888055672347974 2.0816956093580023e-06 0.0006400547192686509 6.486865668944319e-06 2.1698422242970858e-05 3.321686521833925e-07 9.179957989448126e-05 2.189752628116158e-06 0.0009424431388663362 7.163762343230195e-06
-352.94117647058823 -335.2941176470588 0.3584176265756767 0.00656826337313578 0.00019832924421952868 2.1181093600304023e-06 0.0007019855468075993 6.7813985527202506e-06 3.151681354397118e-05 4.005230503423774e-07 0.729190238047608 0.004719010745294511 1.0885396962278557 0.00808771888651271 1.160717827025328 0.0018625970639007782 1.0663073023864844 0.00810520894204286 0.00018372913436344262 2.0488230644949374e-06 0.0006330208816421022 6.434155326917076e-06 2.1960304533393894e-05 3.3615322050749236e-07 9.305848384187754e-05 2.2189360173071898e-06 0.0009318316045711011 7.115769270130956e-06
-317.6470588235294 -300.0 0.4294780382433461 0.0071873018169907625 0.0001793887265757202 2.0108918496430298e-06 0.0006516426419581938 6.559898885624564e-06 2.7590676549335992e-05 3.7267656202713734e-07 0.7320609455224365 0.004728290623089589 1.1623976058108658 0.008603144009009897 1.2668267142132679 0.001945871660928781 1.0898394042454642 0.008238004235745182 0.00016466410909378118 1.934241855800214e-06 0.0005861624507372653 6.208377840142101e-06 1.8930188201957674e-05 3.0940294182594684e-07 8.874992023858111e-05 2.197936956698963e-06 0.0008586220450832509 6.871306079666569e-06
-282.35294117647055 -264.7058823529411 0.4631596407281509 0.007564493041703589 0.0001612078796479406 1.917186877675329e-06 0.0005819147608679617 6.191430729606455e-06 2.4636420033750937e-05 3.5026586276150284e-07 0.6580028005627366 0.004482748916830018 1.121930200351437 0.008792987829027678 1.2325829036019549 0.0019193918946245373 1.0986270832319662 0.008778666677754319 0.0001488911345743379 1.8498737927763937e-06 0.0005234236765431152 5.866159360051441e-06 1.6847643884677584e-05 2.91166625077774e-07 7.858468144223575e-05 2.0526577032603604e-06 0.0007677590605496547 6.490924909291566e-06
