depth,perturbation1,perturbation2
1098.47,0.98,1.02
1108.47,0.98,1.02
1118.47,0.98,1.02
1128.47,0.98,1.02
1138.47,0.98,1.02
1148.47,0.98,1.02
1158.47,0.98,1.02
1168.47,0.98,1.02
1178.47,0.98,1.02
1188.47,0.98,1.02
1198.47,0.98,1.02
1208.47,0.98,1.02
1218.47,0.98,1.02
1228.47,0.98,1.02
1238.47,0.98,1.02
1248.47,0.98,1.02
1258.47,0.98,1.02
1268.47,0.98,1.02
1278.47,0.98,1.02
1288.47,0.98,1.02
1298.47,0.98,1.02
1308.47,0.98,1.02
1318.47,0.98,1.02
1328.47,0.98,1.02
1338.47,0.98,1.02
1348.47,0.98,1.02
1358.47,0.98,1.02
1368.47,0.98,1.02
1378.47,0.98,1.02
1388.47,0.98,1.02
1398.47,0.98,1.02
1408.47,0.98,1.02
1418.47,0.98,1.02
1428.47,0.98,1.02
1438.47,0.98,1.02
1448.47,0.98,1.02
1458.47,0.9800000000000001,1.02
1468.47,0.9800000000000001,1.02
1478.47,0.9800000000000002,1.0199999999999998
1488.47,0.9800000000000004,1.0199999999999996
1498.47,0.9800000000000009,1.0199999999999991
1508.47,0.9800000000000016,1.0199999999999982
1518.47,0.9800000000000034,1.0199999999999965
1528.47,0.980000000000007,1.019999999999993
1538.47,0.980000000000014,1.019999999999986
1548.47,0.9800000000000277,1.0199999999999723
1558.47,0.9800000000000545,1.0199999999999454
1568.47,0.9800000000001062,1.0199999999998937
1578.47,0.9800000000002054,1.0199999999997946
1588.47,0.9800000000003937,1.0199999999996063
1598.47,0.9800000000007477,1.0199999999992524
1608.47,0.980000000001408,1.019999999998592
1618.47,0.9800000000026283,1.0199999999973717
1628.47,0.9800000000048638,1.0199999999951361
1638.47,0.9800000000089228,1.0199999999910772
1648.47,0.9800000000162278,1.0199999999837723
1658.47,0.9800000000292578,1.0199999999707423
1668.47,0.9800000000522944,1.0199999999477056
1678.47,0.9800000000926621,1.019999999907338
1688.47,0.9800000001627741,1.0199999998372258
1698.47,0.9800000002834703,1.0199999997165297
1708.47,0.9800000004894085,1.0199999995105915
1718.47,0.9800000008376836,1.0199999991623165
1728.47,0.9800000014214652,1.0199999985785348
1738.47,0.9800000023913518,1.0199999976086482
1748.47,0.9800000039884582,1.0199999960115418
1758.47,0.9800000065951472,1.019999993404853
1768.47,0.9800000108119858,1.019999989188014
1778.47,0.9800000175732391,1.019999982426761
1788.47,0.9800000283183238,1.019999971681676
1798.47,0.980000045243567,1.019999954756433
1808.47,0.9800000716678023,1.0199999283321977
1818.47,0.9800001125573564,1.0199998874426437
1828.47,0.9800001752713933,1.0199998247286068
1838.47,0.9800002706079751,1.0199997293920249
1848.47,0.9800004142550665,1.0199995857449335
1858.47,0.9800006287793873,1.0199993712206126
1868.47,0.9800009463195595,1.0199990536804404
1878.47,0.9800014121879648,1.0199985878120352
1888.47,0.9800020896271016,1.0199979103728984
1898.47,0.9800030660090733,1.0199969339909267
1908.47,0.9800044608081956,1.0199955391918045
1918.47,0.9800064357123556,1.0199935642876443
1928.47,0.9800092072630736,1.0199907927369265
1938.47,0.9800130624202001,1.0199869375797999
1948.47,0.9800183774265148,1.0199816225734852
1958.47,0.980025640290904,1.019974359709096
1968.47,0.9800354771066199,1.0199645228933802
1978.47,0.9800486822641377,1.0199513177358623
1988.47,0.9800662523987207,1.0199337476012793
1998.47,0.9800894236262709,1.019910576373729
2008.47,0.980119711267273,1.019880288732727
2018.47,0.9801589508435617,1.0198410491564383
2028.47,0.9802093386698523,1.0197906613301477
2038.47,0.9802734698737069,1.019726530126293
2048.47,0.9803543711953935,1.0196456288046065
2058.47,0.980455525483252,1.0195444745167481
2068.47,0.980580884458575,1.019419115541425
2078.47,0.9807348661292101,1.0192651338707899
2088.47,0.9809223332366478,1.0190776667633523
2098.47,0.9811485493766463,1.0188514506233537
2108.47,0.9814191099778596,1.0185808900221403
2118.47,0.9817398461796811,1.0182601538203189
2128.47,0.9821167008206607,1.0178832991793394
2138.47,0.9825555772064806,1.0174444227935193
2148.47,0.9830621630156183,1.0169378369843816
2158.47,0.9836417335350013,1.0163582664649988
2168.47,0.9842989402827834,1.0157010597172167
2178.47,0.9850375928345634,1.0149624071654366
2188.47,0.9858604431740441,1.014139556825956
2198.47,0.9867689829898886,1.0132310170101113
2208.47,0.9877632649013088,1.0122367350986912
2218.47,0.9888417585075115,1.0111582414924885
2228.47,0.9900012513535605,1.0099987486464395
2238.47,0.9912368033726754,1.0087631966273245
2248.47,0.9925417611465177,1.0074582388534823
2258.47,0.9939078355250138,1.006092164474986
2268.47,0.9953252429260631,1.004674757073937
2278.47,0.996782907198932,1.003217092801068
2288.47,0.998268715519065,1.001731284480935
2298.47,0.99976981863263,1.00023018136737
2308.47,1.0012729631214485,0.9987270368785515
2318.47,1.0027648414155983,0.9972351585844018
2328.47,1.004232444193103,0.995767555806897
2338.47,1.0056633996592506,0.9943366003407493
2348.47,1.007046285003755,0.9929537149962451
2358.47,1.008370897028815,0.9916291029711851
2368.47,1.0096284713927421,0.990371528607258
2378.47,1.0108118429335686,0.9891881570664315
2388.47,1.0119155428975797,0.9880844571024204
2398.47,1.012935832353922,0.9870641676460781
2408.47,1.013870674387128,0.9861293256128719
2418.47,1.0147196506076697,0.9852803493923304
2428.47,1.0154838299308797,0.9845161700691203
2438.47,1.016165599324513,0.983834400675487
2448.47,1.0167684672522008,0.9832315327477991
2458.47,1.017296850841436,0.9827031491585642
2468.47,1.017755857432446,0.9822441425675542
2478.47,1.0181510702153642,0.9818489297846359
2488.47,1.0184883462664855,0.9815116537335145
2498.47,1.0187736335970021,0.9812263664029979
2508.47,1.019012811979847,0.9809871880201531
2518.47,1.0192115604634158,0.9807884395365843
2528.47,1.0193752527368547,0.9806247472631452
2538.47,1.0195088799757663,0.9804911200242337
2548.47,1.019616999534962,0.980383000465038
2558.47,1.0197037069012012,0.9802962930987988
2568.47,1.0197726276804095,0.9802273723195905
2578.47,1.0198269260536694,0.9801730739463306
2588.47,1.0198693260592038,0.9801306739407963
2598.47,1.019902142196663,0.9800978578033371
2608.47,1.0199273161524265,0.9800726838475735
2618.47,1.0199464568569983,0.9800535431430017
2628.47,1.0199608815582695,0.9800391184417306
2638.47,1.019971656084608,0.980028343915392
2648.47,1.019979632945109,0.980020367054891
2658.47,1.0199854863458375,0.9800145136541626
2668.47,1.0199897435743939,0.9800102564256061
2678.47,1.0199928125124627,0.9800071874875373
2688.47,1.0199950052756417,0.9800049947243583
2698.47,1.0199965581552324,0.9800034418447676
2708.47,1.019997648154686,0.9800023518453139
2718.47,1.0199984064829157,0.9800015935170842
2728.47,1.0199989293973268,0.9800010706026732
2738.47,1.0199992867906553,0.9800007132093447
2748.47,1.0199995288961878,0.9800004711038122
2758.47,1.019999691453095,0.980000308546905
2768.47,1.0199997996334949,0.9800002003665051
2778.47,1.0199998709900993,0.9800001290099007
2788.47,1.0199999176412335,0.9800000823587666
2798.47,1.0199999478708526,0.9800000521291474
