# all rates in Hertz, MC rates scaled by 0.9304512573921757
bin_edges bin_midpoints nuenuebar nuenuebar__err nuenuebar_frac nuenuebar_frac__err numunumubar numunumubar__err numunumubar_frac numunumubar_frac__err nutaunutaubar nutaunutaubar__err nutaunutaubar_frac nutaunutaubar_frac__err nue_ccnuebar_cc nue_ccnuebar_cc__err nue_ccnuebar_cc_frac nue_ccnuebar_cc_frac__err numu_ccnumubar_cc numu_ccnumubar_cc__err numu_ccnumubar_cc_frac numu_ccnumubar_cc_frac__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nutau_ccnutaubar_cc_frac nutau_ccnutaubar_cc_frac__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err nuall_ncnuallbar_nc_frac nuall_ncnuallbar_nc_frac__err muon muon__err muon_frac muon_frac__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-700.0 -691.4705882352941 2.6488607124414057e-09 6.974544756087194e-10 0.2851806362155152 0.088463415016881 6.638378896309845e-09 1.443735522812167e-09 0.7146986280544824 0.1946750643534106 6.954015796067699e-10 3.308558166841438e-10 0.07486806081047183 0.0376772724690893 2.54305321687201e-09 6.934162654925565e-10 0.2737892298040246 0.08711724088737816 5.7495947243280825e-09 1.2997673725633287e-09 0.6190106840136551 0.1728806360590403 6.93412048166306e-10 3.3084983481691385e-10 0.07465386463197994 0.037665230366853104 9.965811989916228e-10 6.329278186190633e-10 0.10729354663080978 0.07037728492282712 0.0 0.0 0.0 0.0 9.982641188358019e-09 1.6371562469141692e-09 4.249698575902638e-09 4.249698575902638e-09 0.42570883754278693 0.43139580601593697
-682.9411764705883 -674.4117647058824 4.63423628609242e-09 1.2362747109819525e-09 0.16631940234826612 0.04764783050791679 2.412335807215373e-08 2.844622189889049e-09 0.865769945575411 0.136374386701403 1.188599422798296e-09 4.009151973249749e-10 0.04265797715679191 0.015062463810429666 4.129608288962356e-09 1.1819997431272067e-09 0.14820866700601534 0.045156717277906065 2.412335807215373e-08 2.844622189889049e-09 0.865769945575411 0.136374386701403 1.0273757073926754e-09 3.883701495969097e-10 0.036871774137515176 0.01446046556835026 6.65851712535686e-10 3.7570386025289334e-10 0.02389693836152752 0.013712759539233345 0.0 0.0 0.0 0.0 2.9946193781044456e-08 3.127456404119617e-09 2.124849287951319e-08 9.502614899602348e-09 0.709555712985575 0.3258605918025742
-665.8823529411765 -657.3529411764706 5.909680915651737e-09 1.202531591614388e-09 0.08482084837685686 0.018201141596145838 6.711406251974417e-08 4.937355474129183e-09 0.9632790335371784 0.09657757636036549 1.8565940962052014e-09 4.3864946454728413e-10 0.026647443166433946 0.006552309187625223 5.347382314995851e-09 1.1564051159107215e-09 0.07675025285241274 0.017401610329361508 6.368601329724322e-08 4.808031046605918e-09 0.914076708152731 0.09294628746823372 1.5899663627193273e-09 4.230571718837279e-10 0.02282057148285909 0.006267895926498858 4.2569755566427005e-09 1.1758239458262952e-09 0.06109979259246611 0.01738205164853648 0.0 0.0 0.0 0.0 7.488033753160112e-08 5.100585717296756e-09 9.349336866985803e-08 1.993285317491292e-08 1.2485703423866352 0.2794522504010701
-648.8235294117648 -640.2941176470588 1.3207001473814194e-08 1.8310620833271382e-09 0.07314890728401308 0.02533473151763574 1.1618036636982942e-07 6.6371051251019105e-09 0.643481933780307 0.20751290405587858 3.4600846748417514e-09 6.14727445099135e-10 0.019164184510516137 0.006970512731008295 1.2267095956334124e-08 1.8086910108569831e-09 0.06794310324967567 0.023777361333175345 1.0626355769786862e-07 6.2983146765942535e-09 0.5885562400460532 0.19002772088683237 3.1587608937498314e-09 6.04594306195458e-10 0.017495258723745896 0.006484289294358574 1.1158037970532788e-08 2.115697854885964e-09 0.061800423555361465 0.022848223707181942 6.119768135076387e-08 6.119768135076387e-08 0.3389522995056328 0.35561453857111247 1.9404513386924927e-07 6.15868333764291e-08 1.8273703876381343e-07 2.7867137158295305e-08 0.9417244077192092 0.3315999506468781
-631.7647058823529 -623.2352941176471 2.420085870871583e-08 2.428917741992658e-09 0.08514772942139617 0.009290569906514208 2.624141235758744e-07 1.0001838928794115e-08 0.9232716516188864 0.05291612400856283 5.282025345315437e-09 7.276482825294815e-10 0.018584153162214 0.0026808736695188764 2.1834245796186665e-08 2.343112600844091e-09 0.07682109447233786 0.008875529543848504 2.430149099564437e-07 9.597198663848972e-09 0.8550179168181345 0.04979527475814323 4.2657878003645965e-09 6.453856523078549e-10 0.015008646997460656 0.0023598362005791264 2.278206407691077e-08 2.907399849376155e-09 0.08015587591456344 0.01078936976704477 1.3569836155442481e-08 8.030575813438586e-09 0.04774379087797279 0.028328396319926168 3.054668437853481e-07 1.3075015995147424e-08 3.824728718312374e-07 4.031618060707886e-08 1.2520929181433567 0.1424485658052976
-614.7058823529412 -606.1764705882354 4.355527703494813e-08 3.0934769654103395e-09 0.09905718146914218 0.007638242554479568 4.138150740661752e-07 1.273138238482987e-08 0.9411340640434626 0.04045750791812915 7.63615389001578e-09 7.797340163775859e-10 0.017366802213257693 0.0018484066317868285 3.79941033955523e-08 2.836220876857039e-09 0.08640947896602116 0.0069525552113594985 3.7413769978045166e-07 1.2041324651179631e-08 0.8508963447038209 0.03745157791073354 6.5073664134580906e-09 7.350652112331814e-10 0.014799616018672088 0.001729793061146256 4.636733540167707e-08 4.322928777852546e-09 0.10545260803734836 0.010328799532088017 7.558096506548377e-09 5.38885828179629e-09 0.01718927735460663 0.012266669357662366 4.7256460149768755e-07 1.418821609230214e-08 6.799517721444221e-07 5.375490747610515e-08 1.4388546454589857 0.12167838740543023
-597.6470588235294 -589.1176470588235 5.778329783561168e-08 3.818319484983481e-09 0.10587100609738459 0.00764638808438901 5.005900215722969e-07 1.4121972875817636e-08 0.9171849169451182 0.037205716206617084 1.0745666020424732e-08 1.0240262256606936e-09 0.019688292558264334 0.001962039244091083 5.259947855494496e-08 3.667320257398701e-09 0.09637317223832484 0.007282898728364003 4.5412063945233876e-07 1.3388115570993111e-08 0.8320433549013584 0.034495610692901704 8.975012125502982e-09 9.232303863426528e-10 0.016444086769959766 0.0017581533895986486 5.3423855295546636e-08 4.638435139862683e-09 0.09788360169112413 0.008964755243515508 1.7466965460121256e-08 8.792320469236756e-09 0.03200310947970192 0.01613634577642554 5.865859508884548e-07 1.709863183238162e-08 7.989433322696959e-07 5.826893118440937e-08 1.3620226175884378 0.10697590258582985
-580.5882352941177 -572.0588235294117 8.576308406936911e-08 4.649435794093835e-09 0.12508744693990467 0.007360610792210597 6.315741124583092e-07 1.575142831317223e-08 0.9211654890680668 0.03117820270116547 1.5925680233183515e-08 1.2384525143853359e-09 0.023227973932687957 0.0018828847700889482 7.786669835354071e-08 4.451774188513045e-09 0.11357038525813518 0.006993750357845885 5.801696595586602e-07 1.5047896079917158e-08 0.8461909024573666 0.02926785407110029 1.286150325971585e-08 1.0982726452302654e-09 0.018758800759378427 0.0016583690312861339 6.236501558894508e-08 4.877995395450252e-09 0.09096082146577918 0.007412865490629394 3.6107860175344833e-09 3.6107860175344833e-09 0.005266415139809662 0.005267793660784625 7.368736627783963e-07 1.6861087966178656e-08 9.85930069609412e-07 6.472948024477492e-08 1.3379906480738417 0.0930257406121481
-563.5294117647059 -555.0 1.4884751434929423e-07 6.248531348376254e-09 0.1204205066415629 0.011174631134345574 9.828794691928155e-07 1.970043350442192e-08 0.7951684256550063 0.06770946868226056 2.6792384905265016e-08 1.620880011916288e-09 0.021675555541066205 0.0022220296082071053 1.3649379871600133e-07 6.0286298075189725e-09 0.11042611270109076 0.010358745606018013 8.788548130890896e-07 1.8583778794631692e-08 0.7110104748421421 0.060732510524806535 2.14476773821594e-08 1.4261892114770857e-09 0.017351584189599676 0.00184210668778217 1.2172307926012443e-07 6.785517590867903e-09 0.09847631610480304 0.00982620397768013 1.6993765563697827e-07 1.0796879853488863e-07 0.1374828372428337 0.08808674941482876 1.328457024084353e-06 1.0994107482353531e-07 1.4533969129587021e-06 7.859070422907461e-08 1.0940488752057784 0.1081556901323707
-546.4705882352941 -537.9411764705883 3.1882518095463116e-07 9.309888850268766e-09 0.1498985410674128 0.005575996494362649 1.7875014585992998e-06 2.6894830964965132e-08 0.8404099701210107 0.023129363412711202 5.174023676749502e-08 2.318706567742637e-09 0.024326140058032814 0.0012258490406820653 2.9072754399784636e-07 8.92634462737476e-09 0.13668818304408215 0.00524739130865661 1.5909070250429976e-06 2.527643890050329e-08 0.7479793199326319 0.020936493952951243 4.3394999829344936e-08 2.1368560604912843e-09 0.020402551468997908 0.0011092355470584555 2.3303730745123676e-07 9.604072962285444e-09 0.10956459680074435 0.005173408962897904 1.278560416687234e-07 4.426729575303965e-08 0.06011267383401318 0.02085871933911896 2.2859229179901485e-06 5.267803941371377e-08 2.8600471415824753e-06 1.1024671543677596e-07 1.2511564231120766 0.05618980785989282
