sin2_theta23,pct_68_lo,pct_68_hi,pct_90_lo,pct_90_hi,median_contour,metric_asimov,metric_real_data
0.24999999999999994,nan,nan,nan,nan,nan,77.05090665963819,73.50936602886637
0.25931046376510847,nan,nan,nan,nan,nan,68.87150845269626,65.68190946053872
0.26873085487958226,nan,nan,nan,nan,nan,61.35876035534689,59.2162421120303
0.27825687087709333,nan,nan,nan,nan,nan,54.130027863255066,52.9806243809829
0.2878841610504813,nan,nan,nan,nan,nan,47.251419876353275,47.01108791107657
0.29760832843880314,nan,nan,nan,nan,nan,40.80744967036964,41.343771273994605
0.3074249318355046,nan,nan,nan,nan,nan,34.80459553334003,36.05170047271369
0.31732948781680254,nan,nan,nan,nan,nan,29.283870935923467,31.13476566050386
0.3273174727893462,nan,nan,nan,nan,nan,24.276085118829624,26.59166906740603
0.33738432505622645,nan,nan,nan,nan,nan,19.798841595495393,22.441528550502255
0.34752544690038645,nan,nan,nan,nan,nan,15.856367249617426,18.696214888383707
0.3577362066844839,nan,nan,nan,nan,nan,12.440488076522453,15.3598353069452
0.36801194096624507,nan,nan,nan,nan,nan,9.537587814852348,12.428628760647115
0.36999999999999994,4.242484350993831,14.459203650545376,2.2822002435446804,20.085383507941163,7.976954107476814,9.072785507501804,11.941980857813299
0.3783479566283456,3.1875469924875652,12.230179061921042,1.5350758147407602,17.232025481003138,6.352909719956061,7.121058000100365,9.898522631897777
0.3885714285714286,1.8955993978177685,9.500364886214287,0.6200967395101642,13.737610376722378,4.3639951904096534,5.187691861604412,7.791098539123122
0.3887395330218427,1.8833521528677868,9.46784995825123,0.6148337617249388,13.693086041235157,4.342946934681568,5.1559015408630335,7.756446185120723
0.39918192412218334,1.1225720464854456,7.448072411890891,0.28790563905865363,10.92730248526718,3.03546151266431,3.6002690611375137,5.9607840357705015
0.40714285714285714,0.5425784978648289,5.9082609253520415,0.03866646939797818,8.818760732026023,2.038677943636017,2.6946416978528056,4.8390008956893205
0.4096703606968005,0.5011507714356639,5.569020433837517,0.03515970462048887,8.334919732004051,1.887238722073882,2.407115553202899,4.48284780836326
0.42020005248331044,0.328561027680656,4.155729516173352,0.02055036719062004,6.319216689387389,1.256336215547083,1.5259676215313045,3.290219614062238
0.42571428571428577,0.23817850560544684,3.415611391044219,0.012899687990159238,5.263624851873692,0.9259425404489434,1.201784406929627,2.79852704057226
0.43076619037731306,0.19736740108661122,2.998357446614673,0.009419121237141325,4.608969641995784,0.8384641550524434,0.9047816098187553,2.3480593325985524
0.441363948628799,0.11175489481109266,2.1230526403095054,0.0021176760423027453,3.2356504455475235,0.654954203360899,0.49185863765126037,1.6206820080409443
0.44428571428571434,0.0881518200190078,1.8817341027747614,0.00010469260657117798,2.8570310461474233,0.6043611381266203,0.4219821171838019,1.4701162982404579
0.4519884870461591,0.0813919878589806,1.6186186904848063,-0.001759866896689809,2.553454528138896,0.5372945189310804,0.23776372951897587,1.0731736326426073
0.462634953206788,0.07204881669432786,1.2549510320449948,-0.004336986886245465,2.133863138563398,0.44459770520190744,0.09719141339148575,0.6729828605824366
0.46285714285714286,0.0718538265536597,1.2473613596922166,-0.004390770872477389,2.1251063489643798,0.44266314096991266,0.0958061315455555,0.6671158890834977
0.4732984846732755,0.09690339268419768,1.2162775533883425,0.029944233282005968,2.4362437156318526,0.374942599640976,0.030707684151899717,0.39140973108698063
0.48142857142857154,0.11640808369135698,1.192074338285773,0.05667897364728134,2.6785089175920573,0.3222124155501547,0.012121270616050443,0.249400891777443
0.4839742112141724,0.10682599208017127,1.2151588442385055,0.05419434488384635,2.7126987810411536,0.30700224205188675,0.006301613926942293,0.20493600940483248
0.4946572570283134,0.06661373414147317,1.3120354078767673,0.04376733825822372,2.856180148543317,0.2431711449571039,0.0006243955685997853,0.09632041741409125
0.5000000000000001,0.046503012703468585,1.360484753550672,0.03855264412192838,2.9279372186829447,0.2112483065352393,0.00031652002146262637,0.07586779501332289
0.5053427429716866,0.055693680012668736,1.3657084727033533,0.04097278880202943,2.922436641412295,0.22423021591916448,8.644474325480215e-06,0.05541517261255535
0.5160257887858276,0.07407081708383895,1.3761535252398567,0.04581197283753023,2.9114379990860617,0.2501881056096212,0.0009598878103565169,0.07965033412284583
0.5185714285714286,0.0784498651650415,1.3786424541242035,0.04696509149160448,2.9088171564930074,0.2563735547685866,0.0032001397409323843,0.10218855638273468
0.5267015153267245,0.09021099490468597,1.2648311813913797,0.04947781090287086,2.7393422957598923,0.3266224149556088,0.010354900069680638,0.17416955829804692
0.5371428571428571,0.10531562778889451,1.118665164115066,0.05270485669595217,2.5216884129150072,0.4168419148802087,0.04444878437126309,0.347905271416467
0.537365046793212,0.10548379406585114,1.125365705902886,0.05261151039375263,2.5172956157305233,0.4181650592514823,0.04517429536071288,0.3516023323911668
0.5480115129538409,0.11354166973251084,1.4464296766503506,0.048138717687160326,2.3068098145222717,0.48156500498205834,0.13179920969440168,0.6314861098450706
0.5557142857142857,0.11937158402104046,1.6787211028307478,0.04490262927024844,2.15452225999051,0.5274351902265408,0.2574114688213597,0.9272030985724471
0.5586360513712008,0.127958404909543,1.7741441379733858,0.046843628455701156,2.4615785809611697,0.5772286766432995,0.305057893844998,1.0393725430959648
0.5692338096226871,0.15910431550295,2.120260280337971,0.05388397410596762,3.5753258972581623,0.7578384152424762,0.6067834323536736,1.6056571963736985
0.5742857142857143,0.17395143384885045,2.2852523203588304,0.0572400758565351,4.106244335584085,0.8439342818366526,0.8350703455952783,1.9683284498963483
0.5797999475166896,0.22373810475787403,2.8685507379734916,0.052342886416686385,4.991865505617489,1.0579271641571693,1.0842490944355876,2.3641898153591967
0.5903296393031994,0.3188081313217822,3.982386932376694,0.042991469227421676,6.683001438656445,1.4665567960494976,1.788366384188721,3.350737065855242
