# all rates in Hertz, MC rates scaled by 0.9304512573921757
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-200.0 -194.11764705882354 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-188.23529411764707 -182.3529411764706 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-176.47058823529412 -170.58823529411762 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-164.70588235294116 -158.8235294117647 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-152.94117647058823 -147.05882352941177 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-141.1764705882353 -135.29411764705884 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2749095727707913e-08 7.3606938503164716e-09 nan nan
-129.41176470588235 -123.52941176470588 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.249698575902638e-08 1.3438726869026288e-08 nan nan
-117.6470588235294 -111.76470588235293 0.0 0.0 2.8507299597537114e-10 2.8507299597537114e-10 0.0 0.0 0.0 0.0 2.8507299597537114e-10 2.8507299597537114e-10 0.0 0.0 0.0 0.0 0.0 0.0 2.8507299597537114e-10 2.8507299597537114e-10 4.674668433492902e-08 1.4094655648376728e-08 163.98145385530552 171.27304264403412
-105.88235294117646 -100.0 0.0 0.0 2.3917199692826844e-10 2.3917199692826844e-10 0.0 0.0 0.0 0.0 2.3917199692826844e-10 2.3917199692826844e-10 0.0 0.0 0.0 0.0 0.0 0.0 2.3917199692826844e-10 2.3917199692826844e-10 8.924367009395539e-08 1.9474565404819873e-08 373.13594919191576 381.916819960636
-94.11764705882352 -88.23529411764704 0.0 0.0 2.1834064585791114e-10 2.1834064585791114e-10 0.0 0.0 0.0 0.0 2.1834064585791114e-10 2.1834064585791114e-10 0.0 0.0 0.0 0.0 0.0 0.0 2.1834064585791114e-10 2.1834064585791114e-10 9.349336866985803e-08 1.993285317491292e-08 428.1995608399016 437.82322448574774
-82.35294117647058 -76.4705882352941 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9548613449152135e-07 2.8822858070589215e-08 nan nan
-70.58823529411762 -64.70588235294116 0.0 0.0 2.1402659853619256e-10 2.1402659853619256e-10 0.0 0.0 0.0 0.0 2.1402659853619256e-10 2.1402659853619256e-10 0.0 0.0 0.0 0.0 0.0 0.0 2.1402659853619256e-10 2.1402659853619256e-10 2.677310102818662e-07 3.3730936736471185e-08 nan nan
-58.823529411764696 -52.94117647058823 0.0 0.0 4.6518687034043113e-10 3.289606396479422e-10 0.0 0.0 0.0 0.0 4.6518687034043113e-10 3.289606396479422e-10 0.0 0.0 0.0 0.0 0.0 0.0 4.6518687034043113e-10 3.289606396479423e-10 2.804801060095741e-07 3.452471443875978e-08 602.9407188649033 432.7854642605314
-47.05882352941177 -41.17647058823529 0.0 0.0 1.6849686424789149e-09 7.298289527066526e-10 0.0 0.0 0.0 0.0 1.6849686424789149e-09 7.298289527066526e-10 0.0 0.0 0.0 0.0 0.0 0.0 1.6849686424789149e-09 7.298289527066523e-10 2.2948372309874244e-07 3.122877921478137e-08 136.19465508932407 61.834416095611594
-35.29411764705881 -29.411764705882334 0.0 0.0 1.648214876160198e-09 6.808272894973984e-10 3.422162419306397e-13 3.422162419306397e-13 0.0 0.0 1.648214876160198e-09 6.808272894973984e-10 3.422162419306397e-13 3.422162419306397e-13 0.0 0.0 0.0 0.0 1.6485570924021286e-09 6.808273755044892e-10 2.7623040743367147e-07 3.426216527150435e-08 167.5588966295207 72.2527166217741
-23.529411764705856 -17.64705882352939 0.0 0.0 2.2647840989446774e-09 7.830444404412038e-10 2.2693971180436365e-13 2.2693971180436365e-13 0.0 0.0 1.871253412287052e-09 6.769728165625676e-10 2.2693971180436365e-13 2.2693971180436365e-13 3.935306866576254e-10 3.935306866576254e-10 0.0 0.0 2.2650110386564816e-09 7.830444733267139e-10 2.124849287951319e-07 3.0049906810195694e-08 93.81187339429917 35.04067441151909
