cos_theta baseline fluct_p0_dn fluct_p0_up fluct_p1_dn fluct_p1_up
-1.0 0.0 0.0 0.0 0.0 0.0
-0.98 0.0004194387652431905 0.00048353984642316144 0.0003551366523949216 0.0006136213586474125 0.00022296035778403088
-0.96 0.0016525680564717787 0.001899227177845355 0.0014051353710245642 0.002413244420401585 0.0008828982423249957
-0.94 0.0036616073669342884 0.004194663682495645 0.0031268792980562454 0.005337007663980419 0.0019663988704062023
-0.92 0.0064087761898792275 0.007317451048603073 0.0054972515756572665 0.00932304956810179 0.0034600474588109493
-0.9 0.009856294018555154 0.011215190964396741 0.008493135345994973 0.014309508611483647 0.005350429224322562
-0.88 0.013966380346210568 0.01583548511810569 0.012091413751236665 0.020234523272843866 0.007624129383724338
-0.86 0.018701254666094003 0.021125935197958995 0.016268969933549662 0.027036232030900356 0.010267733153799592
-0.84 0.02402313647145399 0.02703414289218571 0.021002687035101286 0.03465277336437101 0.013267825751331624
-0.8200000000000001 0.029894245255539013 0.03350770988901488 0.026269448198058824 0.043022285751973706 0.016610992393103735
-0.8 0.03627680051159766 0.0404942378766756 0.03204613656458964 0.05208290767242641 0.020283818295899255
-0.78 0.04313302173287842 0.04794132854339694 0.03830963527686103 0.06177277760444698 0.02427288867650148
-0.76 0.05042512841262981 0.05579658357740794 0.04503682747704032 0.07203003402675333 0.02856478875169372
-0.74 0.05811534004410039 0.06400760466693767 0.0522045963072948 0.08279281541806337 0.033146103738259276
-0.72 0.06616587612053865 0.07252199350021521 0.059789824909791824 0.09399926025709499 0.03800341885298148
-0.7 0.07453895613519312 0.0812873517654696 0.06776939642669867 0.10558750702256607 0.043123319312643606
-0.6799999999999999 0.08319679958131235 0.09025128115092991 0.0761201940001827 0.11749569419319454 0.04849239033402899
-0.6599999999999999 0.09210162595214483 0.09936138334482521 0.0848191007724112 0.1296619602476983 0.05409721713392092
-0.64 0.10121565474093903 0.10856526003538448 0.09384299988555142 0.14202444366479516 0.05992438492910268
-0.62 0.11050110544094363 0.11781051291083695 0.10316877448177082 0.15452128292320325 0.06596047893635765
-0.6 0.11992019754540706 0.1270447436594116 0.11277330770323664 0.16709061650164025 0.0721920843724691
-0.5800000000000001 0.12943515054757782 0.13621555396933743 0.12263348269211617 0.17967058287882412 0.07860578645422028
-0.56 0.13900818394070447 0.14527054552884358 0.1327261825905768 0.19219932053347283 0.0851881703983946
-0.54 0.14860151721803555 0.15415732002615914 0.14302829054078578 0.20461496794430423 0.09192582142177534
-0.52 0.15817736987281955 0.1628234791495131 0.1535166896849105 0.21685566359003622 0.09880532474114577
-0.5 0.16769796139830506 0.1712166245871346 0.1641682631651182 0.22885954594938676 0.10581326557328923
-0.48 0.17712978588928946 0.17929975264070833 0.17495301383897588 0.24057182316772577 0.11293767562547646
-0.45999999999999996 0.1864564358467662 0.18709743806574186 0.18581342342564905 0.2519659820570318 0.12017237256692805
-0.43999999999999995 0.1956657783732774 0.1946496502311984 0.19668509335970283 0.2630225790959354 0.12751262055735202
-0.42000000000000004 0.20474568057136536 0.20199635850604106 0.20750362507570227 0.273722170763067 0.13495368375645628
-0.4 0.21368400954357245 0.20917753225923327 0.2182046200082127 0.28404531353705736 0.14249082632394905
-0.38 0.22246863239244086 0.21623314085973824 0.22872367959179926 0.2939725638965372 0.15011931241953821
-0.36 0.23108741622051288 0.22320315367651902 0.23899640526102686 0.3034844783201368 0.1578344062029318
-0.33999999999999997 0.23952822813033084 0.23012754007853908 0.24895839845046092 0.31256161328648685 0.16563137183383794
-0.31999999999999995 0.24777893522443697 0.23704626943476145 0.2585452605946664 0.32118452527421804 0.17350547347196454
-0.29999999999999993 0.2558274046053735 0.24399931111414944 0.2676925931282086 0.3293337707619608 0.18145197527701964
-0.28 0.26366150337568267 0.2510266344856662 0.2763359974856524 0.3369899062283457 0.18946614140871118
-0.26 0.2712690986379068 0.258168208918275 0.28441107510156327 0.34413348815200345 0.19754323602674737
-0.24 0.2786380574945883 0.2654640037809392 0.2918534274105061 0.35074507301156466 0.20567852329083613
-0.21999999999999997 0.28575624704826924 0.27295398844262175 0.2985986558470462 0.35680521728565967 0.21386726736068543
-0.19999999999999996 0.29261153440149196 0.28067813227228616 0.30458236184574866 0.36229447745291926 0.22210473239600337
-0.17999999999999994 0.2991978200148456 0.2886673652709603 0.30976130019583714 0.36720333295926555 0.23038828031858405
-0.16000000000000003 0.30553313778110663 0.2969164599679314 0.31417683910516997 0.3715619551197869 0.23872366409856619
-0.14 0.3116415549510982 0.3054111495245517 0.31789150013626366 0.37541043821686354 0.24711873446817462
-0.12 0.31754713877564367 0.31413716710217293 0.3209678048516352 0.37878887653287513 0.25558134215963413
-0.09999999999999998 0.3232739565055662 0.32308024586214734 0.3234682748138011 0.38173736435020195 0.26411933790516934
-0.07999999999999996 0.32884607539168914 0.3322261189658268 0.3254554315852782 0.38429599595122366 0.27274057243700534
-0.05999999999999994 0.3342875626848359 0.3415605195745637 0.32699179672858353 0.3865048656183208 0.28145289648736693
-0.040000000000000036 0.33962248563582936 0.3510691808497096 0.32813989180623315 0.38840406763387275 0.29026416078847866
-0.020000000000000018 0.3448749114954933 0.36073783595261694 0.32896223838074456 0.39003369628026 0.29918221607256557
0.0 0.35006890751465053 0.37055221804463745 0.32952135801463395 0.39143384583986235 0.30821491307185234
0.020000000000000018 0.3552285409441245 0.38049806028712324 0.32987977227041826 0.3926446105950597 0.3173701025185638
0.040000000000000036 0.3603778790347386 0.3905610958414267 0.3301000027106144 0.3937060848282323 0.32665563514492485
