cos_theta,nominal,h1-100cm,h2-50cm,h3-30cm,dima,dima+,dima-,dragon,greco,baseline,msu2,martin_0.6_14,martin_0.8_40,martin_1.8_125,all,tilted,horizontal,bfp_three_flav,bfp_sterile
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.98,6.658986774607939e-05,0.00018460966332944326,0.00028954682351694876,0.0003898041348267048,0.00039808761051186446,0.0004345078459204553,0.0003616668236898752,0.0004133991861657198,0.00042951147456192626,0.00041943876524319054,0.00037756934693394524,0.0004115854327623845,0.00039680362614354396,0.000460954917013805,0.0004937854724384777,0.0005286981518329368,0.00044861877773563926,0.00044190319491590796,0.00035622416453144113
-0.96,0.000273360491861921,0.0007312175528206549,0.0011404808641684938,0.001532007036937178,0.0015697659960046443,0.0017126496294256855,0.001426880198950943,0.0016287258319557507,0.001692445944925248,0.001652568056471779,0.0014901939583357303,0.0016209733190992502,0.001561665296280926,0.0018109068691020754,0.0019404281567382351,0.0020767232479108415,0.00176380063859514,0.0017381967105646755,0.0014005037826324142
-0.94,0.00063081340366393,0.0016289920177279575,0.0025262424771056832,0.0033857944527769584,0.003481158487414118,0.0037963527191314864,0.003165959482070366,0.0036086735683093984,0.003750403481106279,0.003661607366934289,0.0033077486901052795,0.003590111041085165,0.0034562611979722705,0.004000486657835093,0.004287857453375759,0.004586971249102355,0.0038995338740573757,0.003844756443297868,0.003096249541062894
-0.92,0.001149450134468508,0.0028671014073056657,0.004420272017479554,0.005910352128791567,0.006098388415676048,0.0066475444836536345,0.005549224029335291,0.006315936026165953,0.006564984153121317,0.006408776189879228,0.0058001083981425,0.00628094598079468,0.006042267518777685,0.006980325084783123,0.007484002762827512,0.008002338116276096,0.006809806775601201,0.006717458289467032,0.005406872126582841
-0.9,0.0018397722155920663,0.004434714070808116,0.0067960098404411745,0.009064865811426572,0.009387579111726245,0.010228152291607959,0.008546993197032912,0.009713206836464752,0.010097788030986708,0.009856294018555154,0.008937147938347345,0.009655425520302394,0.009281360446257329,0.010701052951516481,0.011476793485570022,0.012265719810300744,0.010448607634705525,0.010312178145423765,0.008295782225952255
-0.88,0.0027122811783510067,0.006320998357489624,0.009626896301141583,0.012808521247127494,0.013314853906500468,0.01450010351161024,0.012129586341450373,0.013763179630145086,0.014310415184718749,0.01396638034621057,0.012688742166619724,0.01367549704168286,0.013135216167971303,0.015113301059605429,0.016214159022079754,0.017320012292044922,0.014769924742849199,0.01458479190751962,0.011726390525931097
-0.86,0.0037774785540617356,0.008515122616604512,0.01288637175473183,0.01710050418233988,0.017846336130934507,0.019425325512276277,0.016267322818874844,0.018428548038146263,0.019164465684333762,0.018701254666094007,0.017024765938859564,0.018303107927010648,0.017565510871479742,0.02016770021062026,0.021644028772833192,0.02310811152237727,0.01972774639151111,0.01949117547210616,0.015662107713279347
-0.84,0.005045865874040658,0.011006255197407108,0.016547876556362962,0.02190000036350926,0.02294814911596413,0.024965745662221865,0.02093052198559348,0.02367200569140759,0.02462153959984805,0.02402313647145399,0.021915094110966787,0.023500205558360326,0.02253392074434277,0.025814881206131245,0.027714332138306836,0.02957291346216643,0.025276060872170117,0.024987204735534948,0.020066344474756977
-0.8200000000000001,0.006527944669604169,0.013783564449151712,0.02058485106118601,0.027166195537081154,0.0285864161925251,0.031083291330062764,0.026089503197893427,0.029456246220868346,0.03064323700127791,0.029894245255539017,0.02732960153884129,0.029228737317806435,0.028002121974120484,0.03200547484770865,0.03437299851897712,0.03665731407228102,0.03136885647630508,0.031028755594157527,0.024902511497123934
