nue_cc numu_cc nutau_cc nu_nc bin_edges
0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.022727272727272728
0.0 0.0 0.0 0.0 0.045454545454545456
0.0 0.0 0.0 0.0 0.06818181818181818
0.0 2.337688695309374e-05 0.0 0.00016532341392849756 0.09090909090909091
0.0004299635752448476 9.350754781237508e-05 0.00036352770590608623 0.00024798512089274665 0.11363636363636365
0.0029559995798083233 0.0015662514258572805 0.004665272225794768 0.003967761934283941 0.13636363636363635
0.008008071588935276 0.0036701712516357165 0.010057599863401706 0.007852862161603634 0.1590909090909091
0.013490107173307075 0.006498774572960059 0.015752867255930385 0.014052490183922293 0.18181818181818182
0.01902588820458448 0.010566352902798368 0.023023421374052097 0.021244058689811936 0.20454545454545456
0.06739679041962986 0.01706512747575845 0.08215726153477548 0.07819797478817944 0.2272727272727273
0.3475718051385536 0.06108380560843401 0.4393232325875052 0.3940483570985744 0.25
0.7165342981455366 0.14521722175261811 0.8615606629974224 0.7829716883653636 0.2727272727272727
1.09495598980791 0.2719199490383867 1.279678112740408 1.1742922091341197 0.29545454545454547
1.3139149405013453 0.4050045664623485 1.5091852710691134 1.4040917544947282 0.3181818181818182
1.6129546070841398 0.6237420976824478 1.8243032041387095 1.702748501756563 0.34090909090909094
2.8323313064785274 1.54666159459059 2.921005704906387 2.9000206654267435 0.36363636363636365
6.049641249141896 4.2174475520945895 5.676061012066632 6.117875594131009 0.38636363636363635
9.248140285388331 7.1973694626663205 8.127994800452214 9.116015705724331 0.4090909090909091
7.4542785040199036 6.372328991430767 6.464128490520041 7.263897499483353 0.4318181818181818
3.435946420675388 3.1175650209515378 3.1535422607843135 3.3596197561479677 0.4545454545454546
1.929354053017442 1.863862573657119 1.9129433764288102 1.9215540400909297 0.4772727272727273
1.4951983329139573 1.4577826703949273 1.5319663406392316 1.4681545773920244 0.5
1.359544824924208 1.479172521957008 1.4106086748175835 1.3196941516842333 0.5227272727272727
0.9793495335139466 1.1450934305103395 1.0393257111854954 0.977722669973131 0.5454545454545454
0.7589932012009671 0.9792344175781448 0.8224208466615358 0.7502376524075228 0.5681818181818182
0.514182690545932 0.7224860681723159 0.5884907679109693 0.5147344492663778 0.5909090909090909
0.4205043765894609 0.6494800502178041 0.4982753088952756 0.4228146311221331 0.6136363636363636
0.38739718129560763 0.6333499982201695 0.429871512233947 0.38768340566232723 0.6363636363636364
0.3650390753828737 0.6469787233138199 0.42732681829260233 0.3485844182682359 0.6590909090909091
0.2933426492107972 0.5694609661773641 0.3561965638369802 0.28716676999380064 0.6818181818181819
0.2505075280270293 0.5349099272606915 0.3082714946083611 0.2455052696838192 0.7045454545454546
0.20632877067062122 0.5047771199781537 0.2603464253797421 0.20095060963008907 0.7272727272727273
0.16607343093832236 0.4796002127296717 0.23732300400568995 0.16714197148171123 0.75
0.15166965116761924 0.5042628284651831 0.21696545247494806 0.14399669353172084 0.7727272727272727
0.1346323444985429 0.5404736263555279 0.20424198276823613 0.12862161603637126 0.7954545454545455
0.10641598487309976 0.5412450636249799 0.18303619992371442 0.10150857615209764 0.8181818181818182
0.08534776968610223 0.5372943697299072 0.16255747249100488 0.08638148377764009 0.8409090909090909
0.06449453628672713 0.5711441020379868 0.1491069473724797 0.06844389336639807 0.8636363636363636
0.04837090221504511 0.6034042060332534 0.1354746584010008 0.04695184955569314 0.8863636363636364
0.03547199495769992 0.7270913149020753 0.13947346316596843 0.03661913618516226 0.9090909090909092
0.020477015271035865 1.0366714288218961 0.16128512552033358 0.024963835503203163 0.9318181818181819
0.009082980527047403 1.6888865748132122 0.2376259437606117 0.00810084728249639 0.9545454545454546
0.0006449453628672712 1.5855139807066316 0.1940632070028657 0.0011572638974994844 0.9772727272727273
0.0006449453628672712 1.5855139807066316 0.1940632070028657 0.0011572638974994844 1.0
